old:	 userId = 0017550b3a324275a5d542e7d74a6d8b	 clientCode = [-9, -9, 43, 20, 43, 20, 63, 41, 83, -77, -97]	 channelId = 10000	 matchCode.A = [-9, -1, 43, 20, 43, 22, 63, 41, 83, -109, -65, 2, 0, -30, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -32, 76]	 matchCode.B = 6	 result.channel_id = 226
new:	 userId = 0017550b3a324275a5d542e7d74a6d8b	 clientCode = [-9, -9, 43, 20, 43, 20, 63, 41, 83, -77, -97]	 channelId = 10000	 matchCode.A = [-9, -1, 43, 20, 43, 22, 63, 41, 83, -109, -65, 2, 0, -30, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -32, 76]	 matchCode.B = 6	 result.channel_id = 226
old:	 userId = 004885d8cb644acc96df981054b15b00	 clientCode = [23, 29, 6, -9, -9, -64, -8, -48, 66, 112, -17]	 channelId = 10000	 matchCode.A = [22, 29, 2, -9, -1, -64, -8, -16, 66, 112, -17, 1, 0, 7, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -109, 29]	 matchCode.B = 3	 result.channel_id = 7
new:	 userId = 004885d8cb644acc96df981054b15b00	 clientCode = [23, 29, 6, -9, -9, -64, -8, -48, 66, 112, -17]	 channelId = 10000	 matchCode.A = [22, 29, 2, -9, -1, -64, -8, -16, 66, 112, -17, 1, 0, 7, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -109, 29]	 matchCode.B = 3	 result.channel_id = 7
old:	 userId = 0071c3285b4444bbae4f9ae5ff8af380	 clientCode = [-17, 70, -16, 16, -1, -44, -106, -99, 93, -52, -112]	 channelId = 10000	 matchCode.A = [-17, 70, -16, 0, -1, -44, -106, -103, 95, -52, 16, 0, 0, -47, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -1, -83]	 matchCode.B = 5	 result.channel_id = 209
new:	 userId = 0071c3285b4444bbae4f9ae5ff8af380	 clientCode = [-17, 70, -16, 16, -1, -44, -106, -99, 93, -52, -112]	 channelId = 10000	 matchCode.A = [-17, 70, -16, 0, -1, -44, -106, -103, 95, -52, 16, 0, 0, -47, -84, 31, 6, -70, 0, 0, 1, 98, 60, -29, -1, -83]	 matchCode.B = 5	 result.channel_id = 209
old:	 userId = 0074d2366f754daeb0bbdbeade41ab63	 clientCode = [-16, -128, 16, -42, -16, -33, 23, -97, -20, -39, -64]	 channelId = 10000	 matchCode.A = [-8, 0, 16, -42, -16, -33, 23, 31, -20, -35, -64, 2, 0, 1, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 60, 107]	 matchCode.B = 3	 result.channel_id = 1
new:	 userId = 0074d2366f754daeb0bbdbeade41ab63	 clientCode = [-16, -128, 16, -42, -16, -33, 23, -97, -20, -39, -64]	 channelId = 10000	 matchCode.A = [-8, 0, 16, -42, -16, -33, 23, 31, -20, -35, -64, 2, 0, 1, -84, 31, 11, -104, 0, 0, 1, 98, 60, -28, 60, 107]	 matchCode.B = 3	 result.channel_id = 1
old:	 userId = 0086a653f151433b960df0cefa8d290d	 clientCode = [16, -105, 43, -4, 62, 31, 15, 23, 83, -79, 25]	 channelId = 10000	 matchCode.A = [20, -105, 43, -4, 62, 31, 15, 23, 83, -79, 25, 1, 0, -35, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -37, -34]	 matchCode.B = 6	 result.channel_id = 221
new:	 userId = 0086a653f151433b960df0cefa8d290d	 clientCode = [16, -105, 43, -4, 62, 31, 15, 23, 83, -79, 25]	 channelId = 10000	 matchCode.A = [20, -105, 43, -4, 62, 31, 15, 23, 83, -79, 25, 1, 0, -35, -84, 31, 11, -104, 0, 0, 1, 98, 60, -29, -37, -34]	 matchCode.B = 6	 result.channel_id = 221
old:	 userId = 0087d849cd354c4988624cb131d72351	 clientCode = [71, 31, 63, 2, 40, 0, -65, 6, 17, 81, -65]	 channelId = 10000	 matchCode.A = [71, -97, 47, 2, 40, 0, -65, 6, 19, 83, -65, 0, 0, -33, -84, 31, 6, -70, 0, 0, 1, 98, 60, -28, 45, -114]	 matchCode.B = 1	 result.channel_id = 223
